title,audience_rating,critic_rating
"0010: The Sharks Make Contact - Part 2",6.2,66
"12 Years a Slave",8.1,96
"127 Hours",7.5,82
13,6,29
"13 Minutes",7,58
"1492: Conquest of Paradise",6.4,47
"20 Feet from Stardom",7.4,83
2010,6.7,53
"2076 Olympiad",6.1,66
22-Jul,6.8,69
"24 Hour Party People",7.3,85
42,7.5,62
"55 Steps",6.9,42
5D,6.7,66
"8 Seconds",6.6,66
"84 Charing Cross Road",7.4,66
"A Beautiful Day in the Neighborhood",7.2,80
"A Beautiful Mind",8.2,72
"A Call to Spy",6.7,65
"A Civil Action",6.6,68
"A Cry in the Dark",6.9,66
"A Dangerous Method",6.4,76
"A Haunting in Venice",6.5,63
"A Haunting in Venice",6.5,63
"A Hidden Life",7.4,80
"A Home of Our Own",7,66
"A Man for All Seasons",7.7,72
"A Mighty Heart",6.6,74
"A Million Miles Away",7.3,62
"A Prayer Before Dawn",6.8,76
"A Private War",6.7,75
"A Quiet Passion",6.4,78
"A Royal Affair",7.5,73
"A Serbian Film",5,66
"A Serbian Film",5,66
"A Tale of Love and Darkness",6,55
"A United Kingdom",6.9,65
"A Walk in the Woods",6.4,51
"About Time",7.8,55
"Ad Astra",6.5,80
Adam,6.5,66
Adrift,6.6,56
"Age of Consent",6.3,66
Agora,7.1,55
Aladdin,8,86
Aladdin,6.9,53
Ali,6.7,65
"Alice in Wonderland",6.4,53
"Alice in Wonderland",6.4,53
"Alice Through the Looking Glass",6.2,34
"Alice Through the Looking Glass",6.2,34
"Alien Protocol",5.2,66
Aline,6.3,53
Alive,7.1,56
"All Is True",6.3,59
"All of Us Strangers",7.7,90
"Alpha Dog",6.9,53
Amadeus,8.4,87
"Amazing Grace",7.4,65
"American Animals",7,68
"American Gangster",7.8,76
"American Me",7.1,66
"American Sniper",7.3,73
"American Splendor",7.4,90
"American Symphony",6.8,76
"American Underdog",7.1,53
Amistad,7.3,64
Amy,7.8,85
"An American Crime",7.2,66
"An Angel at My Table",7.4,79
"An Enraged New World",6.4,66
Anastasia,7.1,61
Anastasia,7.1,61
"Andrei Rublev",8,66
"Angela's Ashes",7.3,54
"Anne of the Thousand Days",7.4,66
Annette,7.9,66
Annie,6.6,39
Annihilation,6.8,79
Annihilation,6.8,79
Annihilation,6.8,79
"Another Country",7,66
"Antwone Fisher",7.3,62
"Aoki Hagane no Arpeggio: Ars Nova DC",6.3,66
Appleseed,6.9,40
"Appleseed: Ex Machina",7,66
"Argentina, 1985",7.6,78
Argo,7.7,86
"Ascension of the Demonoids",6.7,66
Asoka,6.4,66
"At Eternity's Gate",6.9,76
Aurora,6,66
"Auto Focus",6.6,66
Awakenings,7.8,74
"Back to Black",6.5,44
Backbeat,6.6,66
Backcountry,6,62
Bandslam,6.3,66
"Bank of Dave",7.1,60
Barbarian,7,78
Barbarian,7,78
Basquiat,6.9,65
"Batman: Mask of the Phantasm",7.8,65
"Battle of the Sexes",6.7,73
Battleworld,6,66
"Beautiful Boy",7.4,62
Becket,7.8,68
Becky,6,54
"Becoming Jane",7,55
"Before Night Falls",7.1,85
"Before the Ferry Arrives",6.9,66
"Being the Ricardos",6.5,60
Belfast,7.2,75
Belle,7.3,64
Benediction,6.6,81
Bernie,6.8,75
"Beyond the Sea",6.7,46
"Beyond Utopia",7.9,84
Big,7.3,73
"Big Eyes",7,62
"Big Fish",8,58
"Big George Foreman",6.6,45
"Big Miracle",6.5,61
Bigger,6.4,37
"Bikini-Blitzkrieg, Part One: Dance Domination",6,66
"Billie Eilish: The World's a Little Blurry",7.7,70
Bird,7.1,78
"Black Mass",6.9,68
"Black Petunia",7.8,66
BlackBerry,7.4,78
BlacKkKlansman,7.5,83
Blaze,6.5,75
Blaze,6,67
"Bleed for This",6.8,62
Blindazh,7,66
Bloodsport,6.8,29
Blow,7.5,52
"Bob Marley: One Love",6.3,43
Bobby,7,54
"Bodies Bodies Bodies",6.2,69
"Bodies Bodies Bodies",6.2,69
"Bohemian Rhapsody",7.9,49
Bombshell,6.8,64
"Bonnie and Clyde",7.7,86
"Borg vs. McEnroe",6.9,63
"Born Free",7.2,66
"Born on the Fourth of July",7.2,75
"Born to Be Blue",6.8,64
"Bound for Glory",7.2,70
"Boy Erased",6.9,69
"Boys Don't Cry",7.5,86
"Brain on Fire",6.6,34
Brave,7.1,69
Brave,7.1,69
Braveheart,8.3,68
Breach,7,74
Breakthrough,6.3,46
Breathe,7.1,51
Breathless,6,52
"Brian Banks",7.2,58
"Bridge to Terabithia",7.2,74
"Bright Star",6.9,81
Bugsy,6.8,80
Bully,6.9,45
Burden,6.7,57
"Burning Blue",6.2,29
"Butch Cassidy and the Sundance Kid",8,66
Cabrini,7.5,51
"Cadillac Records",7,65
"Camille Claudel",7.3,66
"Can You Ever Forgive Me?",7.1,87
Capote,7.3,88
"Captain Phillips",7.8,82
Carrington,6.8,66
Cars,7.2,73
Casanova,7,66
"Casino Jack",6.2,51
Cassandro,6.5,76
"Cat Person",6,48
"Catch Me If You Can",8.1,75
Changeling,7.7,63
Chaplin,7.5,47
Chappaquiddick,6.4,67
"Chariots of Fire",7.1,78
"Charlie and the Chocolate Factory",6.7,72
"Charlie Wilson's War",7,67
"Chasing Mavericks",7.1,45
Cherry,6.6,44
"Chetvyortaya planeta",6.9,66
Chevalier,6.5,67
"Chip 'n Dale: Rescue Rangers",7,66
Chisum,6.8,66
Chopper,7.1,68
"Christiane F.",7.5,66
Christine,6.9,72
Chuck,6.5,68
Churchill,6,44
Cinderella,6.9,67
"Cinderella Man",8,69
Citizenfour,8,88
"City of Lies",6.5,44
Class,6,33
Cleopatra,7,60
"Cloak & Dagger",6.6,64
"Cloak & Dagger",6.6,64
Clouds,7.5,55
"Coach Carter",7.3,57
"Coal Miner's Daughter",7.5,84
Cobb,6.4,66
Cobweb,5.9,50
Cobweb,5.9,50
Coco,8.4,81
Coco,8.4,81
Coco,8.4,81
"Coco Before Chanel",6.7,65
Colette,6.7,74
Colonia,7,33
"Come Undone",6,61
Concussion,7.1,55
Condition,7.1,66
"Confessions of a Dangerous Mind",7,67
Constantine,7,50
Constantine,7,50
Control,7.6,78
Conviction,7.2,61
Coraline,7.7,80
"Cowboys & Aliens",6,50
Creation,6.6,51
Crew,6,66
Cromwell,7,66
"Cross Creek",6.9,66
Crumb,8,93
"Crusade in Jeans",6.1,66
"Cry Freedom",7.4,59
"Dallas Buyers Club",7.9,77
"Dangerous Beauty",7.1,66
"Dangerous Minds",6.5,46
Danton,7.4,66
"Dark Waters",7.6,73
De-Lovely,6.6,53
Denial,6.8,63
