title,director,genre,release_year,rating
"Fast Shark III: Fastest Shark","Kailer Scopacasa",Comedy,2023,9
"The Lord of the Rings: The Return of the King","Peter Jackson",Action,2003,9
"Schindler's List","Steven Spielberg",Biography,1993,9
"The Message","Moustapha Akkad",Action,1976,8.9
"The Lord of the Rings: The Fellowship of the Ring","Peter Jackson",Action,2001,8.9
"The Lord of the Rings: The Two Towers","Peter Jackson",Action,2002,8.8
"Saving for the Day","John D. Nilles",Action,2023,8.8
Goodfellas,"Martin Scorsese",Biography,1990,8.7
"Spirited Away","Hayao Miyazaki",Animation,2001,8.6
"The Green Mile","Frank Darabont",Crime,1999,8.6
"Spirited Away","Hayao Miyazaki",Animation,2001,8.6
"Futurus - Robot contro uomini","Umberto Baccolo",Sci-Fi,2019,8.5
"The Lion King","Roger Allers",Animation,1994,8.5
Psycho,"Alfred Hitchcock",Horror,1960,8.5
"The Pianist","Roman Polanski",Biography,2002,8.5
Senna,"Asif Kapadia",Documentary,2010,8.5
Psycho,"Alfred Hitchcock",Horror,1960,8.5
"The Salt of the Earth","Juliano Ribeiro Salgado",Documentary,2014,8.4
Amadeus,"Milos Forman",Biography,1984,8.4
Coco,"Lee Unkrich",Animation,2017,8.4
