release_year,number_of_movies,average_rating
1927,1,8.2
1936,1,6.6
1937,1,7.5
1938,1,7
1951,1,6
1954,1,7.3
1956,3,6.8
1959,1,8.3
1960,3,8.3
1961,2,6.7
1962,3,7.47
1963,1,7
1964,2,7.25
1965,3,6.63
1966,5,7.14
1967,4,7.15
1968,3,7.2
1969,3,7.23
1970,5,7.3
1971,4,7.48
1972,5,6.24
1973,6,7.37
1974,4,6.98
1975,11,6.89
1976,4,7.8
1977,4,6.45
1978,3,7.6
1979,1,7.6
1980,10,7.1
1981,9,6.92
1982,9,7.47
1983,9,6.73
1984,8,7.26
1985,11,6.91
1986,3,7.07
1987,9,7.19
1988,15,7.13
1989,12,7
1990,14,7.12
1991,6,6.83
1992,10,7.09
1993,19,7.35
1994,17,7.24
1995,14,6.9
1996,12,6.88
1997,15,7.02
1998,15,6.81
1999,14,7.34
2000,8,7.09
2001,21,7.08
2002,18,7.29
2003,19,7.15
2004,24,7.29
2005,26,7.13
2006,28,6.91
2007,36,7.13
2008,27,7.01
2009,31,7.03
2010,30,6.89
2011,28,6.96
2012,27,6.95
2013,46,6.97
2014,44,6.94
2015,54,6.94
2016,53,7
2017,55,6.96
2018,63,6.92
2019,59,6.85
2020,26,6.57
2021,40,6.88
2022,49,6.8
2023,73,6.68
2024,29,6.59
